"Journal","Citations"
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",13
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
"SCIENTIFIC REPORTS",12
